"LinkID","Node1","Node2","Capacity","Distance","MaxSpeed","NumLane","RoadWidth","RoadType","RoadName","Congestion","BasisFlow","EstFlow","Speed","TravelTime","Delay"
1,50,49,1500.0,19,20.0,1,2.75,"tertiary","Jalan Siwalankerto",0.0006717807523435259,0.00046868424582106454,1.0076711285152888,19.999999999938904,0.9500000000029021,2.902122986370159e-12
2,49,294,1500.0,52,20.0,1,2.75,"tertiary","Jalan Siwalankerto",0.0006717807523435347,0.00046868424582107067,1.007671128515302,19.999999999938904,2.6000000000079426,7.94253551816837e-12
3,101,100,8000.0,15,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.00018216556515980332,0.0006778253587341518,1.4573245212784265,84.99999999999861,0.17647058823529702,2.886579864025407e-15
4,100,99,8000.0,10,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.00018216556515979855,0.000677825358734134,1.4573245212783883,84.99999999999861,0.11764705882353134,1.9290125052862095e-15
5,99,98,8000.0,8,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.00018216556515979787,0.0006778253587341317,1.457324521278383,84.99999999999861,0.09411764705882507,1.5404344466674047e-15
6,98,97,8000.0,4,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.0001821655651597982,0.0006778253587341328,1.4573245212783856,84.99999999999861,0.047058823529412534,7.7021722333370235e-16
7,97,96,8000.0,4,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.00018216556515979665,0.0006778253587341271,1.4573245212783732,84.99999999999861,0.047058823529412534,7.7021722333370235e-16
8,96,95,8000.0,4,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.00018216556515979746,0.00067782535873413,1.4573245212783796,84.99999999999861,0.047058823529412534,7.7021722333370235e-16
9,95,203,8000.0,1,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.00018216556515980402,0.0006778253587341545,1.4573245212784323,84.99999999999861,0.011764705882353134,1.9255430583342559e-16
10,417,418,2250.0,9,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.00020973386134068775,0.00021948892465885927,0.47190118801654746,49.99999999999854,0.18000000000000524,5.245803791353865e-15
11,418,417,2250.0,9,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0005825940592796819,0.0006096914573857137,1.3108366333792845,49.999999999913605,0.18000000000031102,3.110289803487376e-13
12,418,407,2250.0,15,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0005825940592796819,0.0006096914573857137,1.3108366333792845,49.999999999913605,0.30000000000051835,5.183631301974856e-13
13,407,418,2250.0,15,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0005980152099976148,0.0006258298709277365,1.3455342224946334,49.99999999990408,0.30000000000057553,5.755396159656812e-13
14,407,406,2250.0,52,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0005980152099976148,0.0006258298709277365,1.3455342224946334,49.99999999990407,1.0400000000019953,1.9952928198563313e-12
15,406,407,2250.0,52,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0006134363607155469,0.0006419682844697584,1.3802318116099805,49.99999999989379,1.0400000000022092,2.2091217743991365e-12
16,406,405,2250.0,56,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0006134363607155469,0.0006419682844697584,1.3802318116099805,49.99999999989379,1.120000000002379,2.3789858971667854e-12
17,405,406,2250.0,56,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0006288575114334785,0.0006581066980117798,1.4149294007253266,49.9999999998827,1.1200000000026276,2.6274538100778955e-12
18,405,404,2250.0,7,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0006288575114334785,0.0006581066980117798,1.4149294007253266,49.9999999998827,0.14000000000032845,3.2843172625973693e-13
19,404,405,2250.0,7,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.000644278662151415,0.0006742451115538065,1.449626989840684,49.99999999987077,0.14000000000036186,3.6184943930095415e-13
20,404,403,2250.0,49,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.000644278662151415,0.0006742451115538065,1.449626989840684,49.999999999870774,0.9800000000025328,2.532862808379832e-12
21,403,404,2250.0,49,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.0006596998128693619,0.0006903835250958438,1.4843245789560642,49.99999999985795,0.9800000000027842,2.7842173011549676e-12
