LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
1057,199,696,1500,1,20,1,2.75,tertiary,Jalan Jenderal Achmad Yani Frontage Timur
1058,72,71,1500,1,20,1,2.75,tertiary,Jalan Jenderal Achmad Yani Frontage Timur
1059,167,129,3000.0,6,35.0,1,6,tertiary,Jalan Margorejo Indah
1060,168,167,3000.0,4,35.0,1,6,tertiary,Jalan Margorejo Indah
1061,507,506,1000.0,1,25.0,2,2.0,tertiary_link,n/a
1062,506,507,1000.0,1,25.0,2,2.0,tertiary_link,n/a
1063,517,507,1000.0,0,25.0,2,2.0,tertiary_link,n/a
1064,507,517,1000.0,0,25.0,2,2.0,tertiary_link,n/a
1065,504,519,1000.0,2,25.0,2,2.0,tertiary_link,n/a
1066,519,504,1000.0,2,25.0,2,2.0,tertiary_link,n/a
1067,784,783,2000.0,5,25.0,1,4,secondary,Jalan Jemur Andayani
1068,783,19,3000.0,6,35.0,1,6,secondary,Jalan Jemur Andayani
1069,701,29,6000,38,65.0,4,12,tertiary,Jalan Jemur Wonosari
1070,29,28,6000,18,65.0,4,12,tertiary,Jalan Jemur Wonosari
1071,28,27,6000,11,65.0,4,12,tertiary,Jalan Jemur Wonosari
1072,27,26,6000,15,65.0,4,12,tertiary,Jalan Jemur Wonosari
1073,26,25,6000,4,65.0,4,12,tertiary,Jalan Jemur Wonosari
1074,25,24,6000,8,65.0,4,12,tertiary,Jalan Jemur Wonosari
1075,24,23,6000,19,65.0,4,12,tertiary,Jalan Jemur Wonosari
1076,23,71,6000,19,65.0,4,12,tertiary,Jalan Jemur Wonosari
1077,23,22,1500,11,20,1,2.75,secondary_link,n/a
1078,22,21,1500,1,20,1,2.75,secondary_link,n/a
1079,21,20,1500,1,20,1,2.75,secondary_link,n/a
1080,20,696,1500,2,20,1,2.75,secondary_link,n/a
1081,216,209,1000.0,14,25.0,2,2.0,trunk_link,n/a
1082,209,216,1000.0,14,25.0,2,2.0,trunk_link,n/a
1083,651,219,1500,24,20,1,2.75,tertiary,n/a
1084,696,72,1500,0,20,1,2.75,tertiary,Jalan Jenderal Achmad Yani Frontage Timur
1085,201,200,1500,14,20,1,2.75,secondary,n/a
1086,200,199,1500,13,20,1,2.75,secondary,n/a
1087,408,471,1500,1,20,1,2.75,tertiary,Jalan Gayungsari Barat
1088,472,433,1500,1,20,1,2.75,tertiary,Jalan Gayungsari Barat
1089,434,472,1500,1,20,1,2.75,tertiary,Jalan Gayungsari Barat
1090,270,246,8000.0,2,85.0,4,16,trunk,Jalan Jenderal Ahmad Yani
1091,246,245,8000.0,1,85.0,4,16,trunk,Jalan Jenderal Ahmad Yani
1092,245,244,8000.0,3,85.0,4,16,trunk,Jalan Jenderal Ahmad Yani
1093,256,255,3000,0,35,2,8,tertiary,Jalan A. Yani Frontage Barat
1094,255,254,3000,0,35,2,8,tertiary,Jalan A. Yani Frontage Barat
1095,254,253,3000,0,35,2,8,tertiary,Jalan A. Yani Frontage Barat
1096,253,252,3000,0,35,2,8,tertiary,Jalan A. Yani Frontage Barat
1097,252,251,3000,0,35,2,8,tertiary,Jalan A. Yani Frontage Barat
1098,251,250,3000,1,35,2,8,tertiary,Jalan A. Yani Frontage Barat
