"LinkID","Node1","Node2","Capacity","Distance","MaxSpeed","NumLane","RoadWidth","RoadType","RoadName","Congestion","BasisFlow","EstFlow","Speed","TravelTime","Delay"
1,50,49,1500.0,19,20.0,1,2.75,"tertiary","Jalan Siwalankerto",0.07773912459060099,0.00046868424582132085,116.60868688590148,19.98904929748154,0.9505204433306315,0.0005204433306315037
2,49,294,1500.0,52,20.0,1,2.75,"tertiary","Jalan Siwalankerto",0.07773912459059794,0.00046868424582130247,116.6086868858969,19.989049297481543,2.6014243712206753,0.0014243712206751802
3,101,100,8000.0,15,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.02108037706748118,0.0006778253587346434,168.64301653984944,84.99974821932244,0.1764711109648928,5.227295986620639e-07
4,100,99,8000.0,10,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.021080377067481344,0.0006778253587346486,168.64301653985075,84.99974821932246,0.11764740730992852,3.4848639911266854e-07
5,99,98,8000.0,8,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.02108037706748074,0.0006778253587346292,168.64301653984592,84.99974821932246,0.09411792584794282,2.7878911929013483e-07
6,98,97,8000.0,4,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.021080377067480702,0.0006778253587346281,168.64301653984563,84.99974821932246,0.04705896292397141,1.3939455964506742e-07
7,97,96,8000.0,4,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.021080377067480893,0.0006778253587346342,168.64301653984714,84.99974821932246,0.04705896292397141,1.3939455964506742e-07
8,96,95,8000.0,4,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.02108037706748118,0.0006778253587346434,168.64301653984944,84.99974821932246,0.04705896292397141,1.3939455964506742e-07
9,95,203,8000.0,1,85.0,4,16.0,"trunk_link","Jalan Jenderal Ahmad Yani",0.02108037706748022,0.0006778253587346126,168.64301653984177,84.99974821932246,0.011764740730992852,3.4848639911266854e-08
10,417,418,2250.0,9,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.02427060721933402,0.00021948892465907166,54.608866243501545,49.9997397554935,0.18000093688509977,9.368850997781841e-07
11,418,417,2250.0,9,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.06741835338703797,0.0006096914573863015,151.69129512083543,49.9845104333885,0.18005577971987513,5.5779719875137523e-05
12,418,407,2250.0,15,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.06741835338703797,0.0006096914573863015,151.69129512083543,49.98451043338849,0.3000929661997919,9.296619979193288e-05
13,407,418,2250.0,15,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.06920290400539593,0.0006258298709283842,155.70653401214085,49.98280472368135,0.30010320715142164,0.00010320715142164705
14,407,406,2250.0,52,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.06920290400539593,0.0006258298709283842,155.70653401214085,49.98280472368135,1.040357784791595,0.0003577847915949839
15,406,407,2250.0,52,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07098745462375551,0.0006419682844704815,159.7217729034499,49.980961957766866,1.040396142113855,0.0003961421138549692
16,406,405,2250.0,56,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07098745462375551,0.0006419682844704815,159.7217729034499,49.98096195776686,1.1204266145841517,0.0004266145841516078
17,405,406,2250.0,56,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07277200524211253,0.0006581066980125556,163.7370117947532,49.97897500153907,1.1204711580874862,0.000471158087486101
18,405,404,2250.0,7,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07277200524211253,0.0006581066980125556,163.7370117947532,49.97897500153907,0.14005889476093578,5.8894760935762624e-05
19,404,405,2250.0,7,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07455655586046857,0.000674245111554621,167.75225068605428,49.976836543199866,0.1400648877395274,6.488773952739724e-05
20,404,403,2250.0,49,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07455655586046857,0.000674245111554621,167.75225068605428,49.976836543199866,0.9804542141766918,0.00045421417669178066
21,403,404,2250.0,49,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07634110647882593,0.0006903835250966981,171.76748957735833,49.97453909376464,0.9804992880087166,0.0004992880087165696
22,403,402,2250.0,49,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07634110647882593,0.0006903835250966981,171.76748957735833,49.97453909376464,0.9804992880087166,0.0004992880087165696
23,402,403,2250.0,49,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07812565709718401,0.000706521938638782,175.78272846866403,49.97207498760626,0.9805476360978136,0.0005476360978136086
24,402,401,2250.0,53,50.0,2,4.5,"tertiary","Jalan Gayungsari Barat X",0.07812565709718401,0.000706521938638782,175.78272846866403,49.972074987606256,1.0605923410853904,0.0005923410853903022
