"LinkID","Node1","Node2","Capacity","Distance","MaxSpeed","Congestion","BasisFlow","EstFlow","Speed","TravelTime","Delay"
1,1,46,0.101,10.1,40,0.045830372434740405,0.00271657801127265,0.0046288676159087815,39.9973531090005,0.25251670960514694,1.67096051469362e-05
2,1,45,0.101,10.1,40,0.045830372434740405,0.00271657801127265,0.0046288676159087815,39.9973531090005,0.25251670960514694,1.67096051469362e-05
3,2,39,0.303,7.2,40,0.02657901834784314,0.0047263838129033495,0.008053442559396471,39.999700564183094,0.18000134747126312,1.3474712631245112e-06
4,42,2,0.275,5.5,40,0.005382502475315463,0.0008686890613262366,0.0014801881807117525,39.99999949639713,0.13750000173113489,1.7311348743387356e-09
5,47,3,0.101,10.1,40,0.0843936219161216,0.005002400055016967,0.008523755813528282,39.969586988706446,0.2526921282137289,0.00019212821372888156
6,47,46,0.03,7.0,20,0.0843936219161216,0.0014858614024802872,0.002531808657483648,19.98479349435323,0.35026631633586175,0.0002663163358617715
7,46,45,0.046,5.0,40,0.15566687550852976,0.0042024394137529005,0.007160676273392368,39.65075710679777,0.1261009969250447,0.0011009969250447005
8,44,47,0.0984,5.4,40,0.11235329746963572,0.006488261457497387,0.011055564471012155,39.90461990954291,0.13532267722987704,0.0003226772298770275
9,44,18,0.101,10.1,40,0.11235329746963574,0.006659699260236139,0.01134768304443321,39.904619909542916,0.25310352592995516,0.0006035259299551621
10,18,44,0.101,10.1,40,0.10200702116955702,0.006046427641390645,0.01030270913812526,39.93514152269325,0.25291008407371357,0.00041008407371356803
11,40,17,0.101,10.1,40,0.06167450752966387,0.003655733133081691,0.006229125260496051,39.99132079855931,0.2525547993494592,5.479934945917808e-05
12,17,40,0.101,10.1,40,0.07666762619957247,0.004544444577813503,0.00774343024615682,39.97928073703047,0.2526308581295951,0.00013085812959512388
13,40,42,0.024,5.5,40,0.06167450752966387,0.0008686890613263424,0.001480188180711933,39.991320798559315,0.1375298412299035,2.984122990348781e-05
14,45,43,0.13,5.0,40,0.09068879914847208,0.006919017425025681,0.011789543889301372,39.95945610836679,0.125126828214088,0.00012682821408799283
15,43,41,0.105,5.0,40,0.07891260970081103,0.004862763250519973,0.008285824018585158,39.976746714067346,0.1250727087864946,7.270878649459633e-05
16,41,39,0.018,5.5,40,0.28874302409504826,0.0030502218413947014,0.005197374433710869,36.22319930666206,0.1518363950527268,0.014336395052726797
17,39,37,0.05,11.0,40,0.26501633986215445,0.007776605654298276,0.013250816993107723,37.24424242141931,0.2953476640908625,0.020347664090862472
18,38,37,0.006,4.8,20,0.19153050114875048,0.0006744295898035636,0.0011491830068925029,19.604274698703797,0.24484455935099542,0.0048445593509954255
19,37,36,0.016,9.0,40,0.8999999999999999,0.008451035244101707,0.0144,3.6895263570539143,2.4393374999999993,2.214337499999999
20,36,35,0.04,11.0,40,0.36000000000000754,0.008451035244101884,0.014400000000000301,31.95035170947107,0.3442841600000059,0.06928416000000587
21,35,33,0.3,11.0,40,0.05985730624823757,0.01053867093168427,0.01795719187447127,39.99229919182057,0.27505295325080426,5.2953250804232965e-05
22,33,32,0.08,8.0,40,0.10573255195100227,0.004964164016592971,0.008458604156080182,39.92515329103513,0.20037493511130325,0.0003749351113032373
23,32,29,0.107,8.0,40,0.19063780777603018,0.011971270212775442,0.02039824543203523,39.222917209196396,0.20396239161232713,0.003962391612327115
24,29,27,0.023,8.0,40,0.1858306440005318,0.0025083757224513936,0.004274104812012232,39.29705619991665,0.20357759012027388,0.003577590120273866
25,29,30,0.015,2.5,20,0.18583064400053184,0.0016358972102943872,0.0027874596600079775,19.648528099958327,0.12723599382517117,0.002235993825171173
26,29,58,0.101,10.1,40,0.18583064400053184,0.01101504121598221,0.018768895044053716,39.29705619991665,0.25701670752684574,0.004516707526845742
27,58,8,0.101,10.1,40,0.18583064400053156,0.011015041215982192,0.01876889504405369,39.29705619991667,0.2570167075268457,0.004516707526845687
28,8,25,0.101,10.1,40,0.09249712962333688,0.005482732412842463,0.009342210091957025,39.95612797525195,0.2527772462400697,0.0002772462400696951
29,25,26,0.101,10.1,40,0.09249712962333828,0.005482732412842546,0.009342210091957168,39.95612797525194,0.25277724624006975,0.0002772462400697506
30,8,22,0.101,10.1,40,0.09249712962333688,0.005482732412842463,0.009342210091957025,39.95612797525195,0.2527772462400697,0.0002772462400696951
31,22,23,0.101,10.1,40,0.09249712962333852,0.005482732412842559,0.00934221009195719,39.95612797525194,0.25277724624006975,0.0002772462400697506
32,27,26,0.023,8.0,40,0.6527329661417556,0.008810707912678717,0.015012858221260379,10.744280457147882,0.7445822018428245,0.5445822018428246
33,26,23,0.124,12.0,40,0.1964118412356264,0.014293440325521338,0.024355068313217675,39.12655898458448,0.3066970444481943,0.0066970444481943
34,23,4,0.101,10.1,40,0.3336364198532142,0.019776172738363764,0.033697278405174634,33.73080505445235,0.2994295565639586,0.046929556563958585
35,4,24,0.101,10.1,40,0.2126485823613468,0.012604664380454489,0.02147750681849603,38.809633309737336,0.2602446644984381,0.007744664498438081
36,24,28,0.18,14.4,40,0.11931948232497896,0.012604664380454598,0.021477506818496212,39.878750976813066,0.361094559064116,0.0010945590641160408
37,28,27,0.015,2.5,20,0.7159168939498777,0.006302332190227333,0.010738753409248165,4.048244852108663,0.617551578852201,0.492551578852201
38,28,30,0.015,8.0,40,0.7159168939498777,0.006302332190227333,0.010738753409248165,8.096489704217326,0.9880825261635217,0.7880825261635216
39,30,31,0.024,3.8,40,0.10864428168077167,0.0015302610892571913,0.00260746276033852,39.916579637835696,0.09519853741170992,0.0001985374117099148
40,30,15,0.101,10.1,40,0.10864428168077167,0.006439848750624014,0.01097307244975794,39.916579637835696,0.25302769154165006,0.0005276915416500549
41,15,30,0.101,10.1,40,0.05432214084038475,0.003219924375311943,0.0054865362248788605,39.994776013610746,0.25253298072135316,3.298072135315966e-05
42,31,34,0.163,14.4,40,0.015996704051156645,0.0015302610892571993,0.0026074627603385335,39.99996071082908,0.3600003536028856,3.5360288563879294e-07
43,34,33,0.05,5.5,40,0.03587297659952119,0.0010526520470603797,0.0017936488299760596,39.99900640334825,0.13750341557333295,3.415573332943289e-06
44,16,34,0.101,10.1,40,0.09166074486948128,0.0054331560225453265,0.00925773523181761,39.95769173851663,0.2527673536823513,0.0002673536823513123
45,34,38,0.3684,14.4,40,0.035872976599521184,0.007755940282740877,0.013215604579263605,39.999006403348254,0.36000894259199895,8.942591998961635e-06
46,38,40,0.063,18.0,40,0.19153050114875045,0.007081510692937417,0.012066421572371278,39.208549397407594,0.4590835487831164,0.009083548783116402
47,40,44,0.1962,18.0,40,0.06167450752966387,0.00710153307634285,0.012100538377320053,39.991320798559315,0.4500976622069569,9.766220695689443e-05
48,43,76,0.0444,8.4,40,0.07891260970081102,0.0020562541745055883,0.0035037198707160095,39.976746714067346,0.21012215076131094,0.0001221507613109185
49,30,29,0.05,5.5,40,0.10864428168077167,0.003188043935952482,0.005432214084038584,39.91657963783569,0.13778735678010648,0.00028735678010646803
50,76,75,0.108,9.6,40,0.059932066694512544,0.003798660059153847,0.006472663203007355,39.992260654587625,0.24004644505883307,4.6445058833083364e-05
51,76,73,0.108,6.0,40,0.059932066694512544,0.003798660059153847,0.006472663203007355,39.992260654587625,0.15002902816177066,2.9028161770666694e-05
52,73,76,0.09,4.8,40,0.10490673928109844,0.005541065943802199,0.009441606535298859,39.92746017590541,0.1202180148412396,0.00021801484123960824
