LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
17314,15274,15273,3000,0.003,35.0,2,6,secondary,Jalan Margomulyo
17315,15273,15272,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17316,15272,15271,3000,0.008,35.0,2,6,secondary,Jalan Margomulyo
17317,15271,15270,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17318,15270,15269,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17319,15269,15268,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17320,15268,15060,3000,0.008,35.0,2,6,secondary,Jalan Margomulyo
17321,15060,15059,3000,0.0,35.0,2,6,secondary,Jalan Margomulyo
17322,15059,15058,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17323,15058,15057,3000,0.002,35.0,2,6,secondary,Jalan Margomulyo
17324,15057,15056,3000,0.007,35.0,2,6,secondary,Jalan Margomulyo
17325,15056,15055,3000,0.0,35.0,2,6,secondary,Jalan Margomulyo
17326,15055,15054,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17327,15054,15053,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17328,15053,15052,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17329,15052,15051,3000,0.003,35.0,2,6,secondary,Jalan Margomulyo
17330,15051,15050,3000,0.005,35.0,2,6,secondary,Jalan Margomulyo
17331,15050,15049,3000,0.012,35.0,2,6,secondary,Jalan Margomulyo
17332,15049,15048,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17333,15048,15047,3000,0.014,35.0,2,6,secondary,Jalan Margomulyo
17334,15047,14931,3000,0.006,35.0,2,6,secondary,Jalan Margomulyo
17335,14931,14930,3000,0.007,35.0,2,6,secondary,Jalan Margomulyo
17336,14930,14929,3000,0.013,35.0,2,6,secondary,Jalan Margomulyo
17337,14929,14928,3000,0.013,35.0,2,6,secondary,Jalan Margomulyo
17338,14928,14927,3000,0.067,35.0,2,6,secondary,Jalan Margomulyo
17339,14927,14926,3000,0.055,35.0,2,6,secondary,Jalan Margomulyo
17340,14926,14925,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17341,14925,14924,3000,0.002,35.0,2,6,secondary,Jalan Margomulyo
17342,14924,14923,3000,0.002,35.0,2,6,secondary,Jalan Margomulyo
17343,14923,14922,3000,0.001,35.0,2,6,secondary,Jalan Margomulyo
17344,14922,14921,3000,0.013,35.0,2,6,secondary,Jalan Margomulyo
17345,14921,14920,3000,0.006,35.0,2,6,secondary,Jalan Margomulyo
17346,3248,3242,2000.0,0.01,25.0,2,4,trunk,Jalan Simokerto
17347,3242,3241,2000.0,0.022,25.0,2,4,trunk,Jalan Simokerto
17348,3241,3240,2000.0,0.014,25.0,2,4,trunk,Jalan Simokerto
17349,3240,3239,2000.0,0.005,25.0,2,4,trunk,Jalan Simokerto
17350,3239,3238,2000.0,0.011,25.0,2,4,trunk,Jalan Simokerto
17351,3238,3237,2000.0,0.005,25.0,2,4,trunk,Jalan Simokerto
17352,3237,3236,2000.0,0.007,25.0,2,4,trunk,Jalan Simokerto
17353,3236,3235,2000.0,0.01,25.0,2,4,trunk,Jalan Simokerto
17354,3235,3234,2000.0,0.004,25.0,2,4,trunk,Jalan Simokerto
17355,3234,3233,2000.0,0.02,25.0,2,4,trunk,Jalan Simokerto
17356,3233,3232,2000.0,0.008,25.0,2,4,trunk,Jalan Simokerto
17357,3232,3231,2000.0,0.007,25.0,2,4,trunk,Jalan Simokerto
17358,3231,3230,2000.0,0.009,25.0,2,4,trunk,Jalan Simokerto
17359,3230,3229,2000.0,0.005,25.0,2,4,trunk,Jalan Simokerto
17360,3229,3228,2000.0,0.009,25.0,2,4,trunk,Jalan Simokerto
17361,3228,3227,2000.0,0.008,25.0,2,4,trunk,Jalan Simokerto
17362,3227,3226,2000.0,0.012,25.0,2,4,trunk,Jalan Simokerto
17363,3226,3225,2000.0,0.015,25.0,2,4,trunk,Jalan Simokerto
17364,3225,3224,2000.0,0.002,25.0,2,4,trunk,Jalan Simokerto
17365,3224,3223,2000.0,0.01,25.0,2,4,trunk,Jalan Simokerto
17366,3223,3222,2000.0,0.003,25.0,2,4,trunk,Jalan Simokerto
17367,3222,3221,2000.0,0.001,25.0,2,4,trunk,Jalan Simokerto
17368,3221,3220,2000.0,0.001,25.0,2,4,trunk,Jalan Simokerto
17369,3220,3219,2000.0,0.009,25.0,2,4,trunk,Jalan Simokerto
17370,3247,3250,1500,0.004,20,1,2.75,trunk,Jalan Kapasari
17371,3249,3248,1500,0.003,20,1,2.75,trunk,Jalan Kapasari
17372,3069,1865,1500,0.003,20,1,2.75,secondary,Jalan Bunguran
17373,1865,1864,1500,0.002,20,1,2.75,secondary,Jalan Bunguran
17374,1864,1863,1500,0.004,20,1,2.75,secondary,Jalan Bunguran
17375,1863,1870,1500,0.007,20,1,2.75,secondary,Jalan Bunguran
17376,13695,13696,1000.0,0.097,25.0,2,2.0,tertiary,Jalan Pakal Madya
17377,13696,13695,1000.0,0.097,25.0,2,2.0,tertiary,Jalan Pakal Madya
17378,13696,13697,1000.0,0.095,25.0,2,2.0,tertiary,Jalan Pakal Madya
17379,13697,13696,1000.0,0.095,25.0,2,2.0,tertiary,Jalan Pakal Madya
17380,13697,13698,1000.0,0.123,25.0,2,2.0,tertiary,Jalan Pakal Madya
17381,13698,13697,1000.0,0.123,25.0,2,2.0,tertiary,Jalan Pakal Madya
17382,13698,13699,1000.0,0.166,25.0,2,2.0,tertiary,Jalan Pakal Madya
17383,13699,13698,1000.0,0.166,25.0,2,2.0,tertiary,Jalan Pakal Madya
17384,13699,13700,1000.0,0.092,25.0,2,2.0,tertiary,Jalan Pakal Madya
17385,13700,13699,1000.0,0.092,25.0,2,2.0,tertiary,Jalan Pakal Madya
17386,13700,13701,1000.0,0.123,25.0,2,2.0,tertiary,Jalan Pakal Madya
17387,13701,13700,1000.0,0.123,25.0,2,2.0,tertiary,Jalan Pakal Madya
17388,13701,13702,1000.0,0.018,25.0,2,2.0,tertiary,Jalan Pakal Madya
17389,13702,13701,1000.0,0.018,25.0,2,2.0,tertiary,Jalan Pakal Madya
17390,13702,13703,1000.0,0.019,25.0,2,2.0,tertiary,Jalan Pakal Madya
17391,13703,13702,1000.0,0.019,25.0,2,2.0,tertiary,Jalan Pakal Madya
17392,13703,13704,1000.0,0.025,25.0,2,2.0,tertiary,Jalan Pakal Madya
17393,13704,13703,1000.0,0.025,25.0,2,2.0,tertiary,Jalan Pakal Madya
17394,13704,13705,1000.0,0.003,25.0,2,2.0,tertiary,Jalan Pakal Madya
17395,13705,13704,1000.0,0.003,25.0,2,2.0,tertiary,Jalan Pakal Madya
17396,13705,13706,1000.0,0.018,25.0,2,2.0,tertiary,Jalan Pakal Madya
17397,13706,13705,1000.0,0.018,25.0,2,2.0,tertiary,Jalan Pakal Madya
17398,13706,13707,1000.0,0.057,25.0,2,2.0,tertiary,Jalan Pakal Madya
17399,13707,13706,1000.0,0.057,25.0,2,2.0,tertiary,Jalan Pakal Madya
17400,13707,13708,1000.0,0.033,25.0,2,2.0,tertiary,Jalan Pakal Madya
17401,13708,13707,1000.0,0.033,25.0,2,2.0,tertiary,Jalan Pakal Madya
17402,13708,13709,1000.0,0.025,25.0,2,2.0,tertiary,Jalan Pakal Madya
