NodeID,X,Y,osmID
0,-7.2558734,112.7466761,3716369171
1,-7.2558674,112.7464179,5581549838
2,-7.2558369,112.7455953,3062525874
3,-7.2558294,112.7453043,3062525861
4,-7.2558148,112.7448911,5579917825
5,-7.2558003,112.7444846,5579917826
6,-7.2557857,112.7440742,5579917838
7,-7.2557807,112.7439548,3062525869
8,-7.2557589,112.7438414,420032161
9,-7.2557417,112.743786,6865722853
10,-7.2557205,112.7437459,420032160
11,-7.2556486,112.7436706,10212981622
12,-7.2556552,112.7434252,6869403867
13,-7.2556544,112.7434327,6869409622
14,-7.2556499,112.7435218,6865722852
15,-7.2556419,112.7435513,6869409621
16,-7.2556253,112.7435781,6865722851
17,-7.2555999,112.743602,420032154
18,-7.255557,112.7436292,420032152
19,-7.2554424,112.7435982,6883876884
20,-7.255362,112.743588,420032151
21,-7.2552734,112.7435976,420032150
22,-7.2552136,112.743613,6868863227
23,-7.2551471,112.7436425,5579917601
24,-7.2550952,112.7436797,420032149
25,-7.2550047,112.743754,5579917841
26,-7.2548983,112.7438569,420032148
27,-7.2548157,112.7439438,6868676434
28,-7.2547483,112.7440015,5579917831
29,-7.254634,112.7440955,420032147
30,-7.2543731,112.7443362,6868676432
31,-7.2542996,112.7443925,420032146
32,-7.2542283,112.7444321,5579917823
33,-7.2541317,112.74447,420032145
34,-7.2540607,112.7444888,420032144
35,-7.2539391,112.7445088,6868676413
36,-7.2537262,112.7445193,420032143
37,-7.2530866,112.7444996,420032142
38,-7.2528774,112.7444949,5579917616
39,-7.2527641,112.7444968,420032141
40,-7.2526732,112.7445095,6869403875
41,-7.2526024,112.7445223,420032140
42,-7.252512,112.7445534,1682369096
43,-7.2523306,112.7446336,6868676415
44,-7.2522222,112.744699,420032139
45,-7.2521231,112.7447643,6868676414
46,-7.2520147,112.7448486,3265992781
47,-7.2518603,112.7449391,420032138
48,-7.2515907,112.7451173,7802427145
49,-7.2515617,112.7451364,5581549885
50,-7.251423,112.7452221,5579917596
51,-7.2513543,112.7452632,7802427139
52,-7.2513204,112.7452835,420032137
53,-7.2587567,112.7463625,3716369167
54,-7.2587682,112.7463888,3716369173
55,-7.2587762,112.7464136,3716369203
56,-7.2587812,112.7464345,3716369179
57,-7.2587807,112.7464581,3716369207
58,-7.2603555,112.7459757,10208375763
59,-7.2603642,112.7459959,10208375764
60,-7.260364,112.7460188,10208375765
61,-7.2620955,112.7461624,9647951632
62,-7.2620649,112.7461792,9647951631
63,-7.2619772,112.7462183,5595745428
64,-7.2618525,112.7462567,3010008544
65,-7.2617234,112.7462821,3010008542
66,-7.261458,112.7463577,1682373272
67,-7.2611163,112.7464547,5581738587
68,-7.2609067,112.7465276,420401569
69,-7.2608253,112.7465441,3276242809
70,-7.2607691,112.7465526,420401566
71,-7.2607074,112.7465467,3276242808
72,-7.2636433,112.7534574,421177683
73,-7.2637145,112.7534641,7547104478
74,-7.263783,112.7534775,5595745453
75,-7.2638389,112.7534956,1286232429
76,-7.2638928,112.7535157,1286232413
77,-7.2639786,112.753562,1286232501
78,-7.2640518,112.7535955,421177706
79,-7.2640993,112.7536079,7547104481
80,-7.2641359,112.7536136,421177703
81,-7.2641637,112.7536092,7547104479
82,-7.2641855,112.7536012,7547104480
83,-7.2642121,112.7535895,421177700
84,-7.2642865,112.7535387,320089361
85,-7.2642741,112.7533905,320089360
86,-7.2641416,112.7517226,320089375
87,-7.2641223,112.7516184,7546766614
88,-7.2640983,112.751499,7544752574
89,-7.2640531,112.7513605,5595745425
90,-7.2640092,112.7512405,6876623681
91,-7.2639606,112.7511346,6876623682
92,-7.2639234,112.7510709,6876623680
93,-7.2638655,112.7509904,7546766615
94,-7.2638107,112.7509185,7546766616
95,-7.263695,112.75083,7546766617
96,-7.2635405,112.7507341,7546766618
97,-7.263425,112.7506694,4613228790
98,-7.2631644,112.7505122,420401509
99,-7.2630999,112.7504647,6876623674
100,-7.2629556,112.750328,7241771301
101,-7.2628613,112.750246,3651948122
102,-7.2628125,112.7501959,5595745608
103,-7.2640398,112.750867,2304458324
104,-7.263616,112.7506702,3207375174
105,-7.2632303,112.7504573,3207375177
106,-7.2631867,112.7504201,7544752580
107,-7.2631541,112.7503845,7544752579
108,-7.2661414,112.7497978,3651961059
109,-7.2661048,112.749832,3651961027
110,-7.2660739,112.7498608,3651961053
111,-7.2642427,112.7480802,3276275882
112,-7.2645327,112.7480131,3276275883
113,-7.2650245,112.7478761,4613228484
114,-7.2650457,112.7478685,5595745527
115,-7.2651046,112.7478476,3778082782
116,-7.2651415,112.7478345,3778082783
117,-7.2651713,112.7478239,3778082784
118,-7.2652004,112.7478136,3778082785
119,-7.2643458,112.7457232,412683643
120,-7.2644076,112.7457393,3010008538
121,-7.2644562,112.7457621,412683644
122,-7.2702042,112.7435325,3062525868
123,-7.2698903,112.7436686,5594080088
124,-7.2697144,112.7437488,5594080091
125,-7.2696588,112.7437729,7232239954
126,-7.2695334,112.7438257,5594080093
127,-7.2688443,112.7440703,3062525879
128,-7.2685616,112.7441648,3062525881
129,-7.2682882,112.7442607,3730561737
130,-7.2682097,112.7442925,3062525867
131,-7.2681366,112.7443338,7229412738
132,-7.2680687,112.7443902,3062525877
133,-7.2680162,112.7444418,3062525864
134,-7.2679264,112.7445135,3735435278
135,-7.2678147,112.7445626,412341179
136,-7.2677188,112.7445705,3735435279
