osmid,y,x,street_count,highway,geometry
4636658485,-7.3375305,112.7357979,3,,POINT (112.7357979 -7.3375305)
4636658486,-7.338145,112.7360505,1,,POINT (112.7360505 -7.338145)
4636658487,-7.3379521,112.7360532,2,,POINT (112.7360532 -7.3379521)
4636658488,-7.3379118,112.736077,3,,POINT (112.736077 -7.3379118)
4636658490,-7.3379493,112.7367639,3,,POINT (112.7367639 -7.3379493)
4636658492,-7.3380522,112.7375875,3,,POINT (112.7375875 -7.3380522)
4636658501,-7.3411945,112.737934,1,,POINT (112.737934 -7.3411945)
4636658502,-7.3411937,112.7376884,3,,POINT (112.7376884 -7.3411937)
4636658525,-7.3376565,112.7334256,1,,POINT (112.7334256 -7.3376565)
4636658526,-7.3375421,112.7334652,2,,POINT (112.7334652 -7.3375421)
4636658527,-7.3374423,112.733496,2,,POINT (112.733496 -7.3374423)
4636658528,-7.3372827,112.733543,2,,POINT (112.733543 -7.3372827)
4636658529,-7.3371989,112.7335704,2,,POINT (112.7335704 -7.3371989)
4636658530,-7.3370859,112.7336065,4,,POINT (112.7336065 -7.3370859)
4636658534,-7.3384195,112.7339924,1,,POINT (112.7339924 -7.3384195)
4636658535,-7.3383161,112.7340262,2,,POINT (112.7340262 -7.3383161)
4636658536,-7.3382738,112.734039,2,,POINT (112.734039 -7.3382738)
4636658537,-7.3382056,112.7340641,2,,POINT (112.7340641 -7.3382056)
4636658538,-7.3381323,112.7340985,2,,POINT (112.7340985 -7.3381323)
4636658539,-7.3381885,112.7343087,2,,POINT (112.7343087 -7.3381885)
4636658540,-7.3382927,112.7345491,3,,POINT (112.7345491 -7.3382927)
4636658578,-7.3410881,112.7363389,2,,POINT (112.7363389 -7.3410881)
4636658585,-7.3427802,112.7368574,2,,POINT (112.7368574 -7.3427802)
4636658586,-7.3427952,112.7370632,2,,POINT (112.7370632 -7.3427952)
4636658587,-7.3427985,112.7371605,2,,POINT (112.7371605 -7.3427985)
4636658588,-7.3428081,112.7372352,2,,POINT (112.7372352 -7.3428081)
4636658589,-7.3428181,112.7373274,2,,POINT (112.7373274 -7.3428181)
4636658590,-7.3428306,112.7375268,3,,POINT (112.7375268 -7.3428306)
4636658596,-7.3363284,112.7322928,2,,POINT (112.7322928 -7.3363284)
4636658601,-7.3366471,112.7353123,1,,POINT (112.7353123 -7.3366471)
4636658602,-7.3368769,112.7352543,2,,POINT (112.7352543 -7.3368769)
4636658603,-7.337143,112.7351825,2,,POINT (112.7351825 -7.337143)
4636658604,-7.3373209,112.7351276,2,,POINT (112.7351276 -7.3373209)
4636658605,-7.3373614,112.7351195,2,,POINT (112.7351195 -7.3373614)
4636658606,-7.3374949,112.735081,2,,POINT (112.735081 -7.3374949)
4636658607,-7.3369242,112.7306931,1,,POINT (112.7306931 -7.3369242)
4636658608,-7.3370513,112.7306737,2,,POINT (112.7306737 -7.3370513)
4636658609,-7.3374495,112.7306088,3,,POINT (112.7306088 -7.3374495)
4636658610,-7.3410652,112.737352,2,,POINT (112.737352 -7.3410652)
4636658611,-7.3410966,112.737701,3,,POINT (112.737701 -7.3410966)
4636658617,-7.3441645,112.7372364,2,,POINT (112.7372364 -7.3441645)
4636658623,-7.336168,112.7319593,2,,POINT (112.7319593 -7.336168)
4636658624,-7.3360437,112.7335408,2,,POINT (112.7335408 -7.3360437)
4636658625,-7.3358465,112.7335981,2,,POINT (112.7335981 -7.3358465)
4636658626,-7.3356597,112.7336511,2,,POINT (112.7336511 -7.3356597)
4636658627,-7.3353976,112.7337249,2,,POINT (112.7337249 -7.3353976)
4636658628,-7.335055,112.7338336,3,,POINT (112.7338336 -7.335055)
4636658636,-7.3367122,112.7356788,1,,POINT (112.7356788 -7.3367122)
4636658637,-7.3370408,112.735644,2,,POINT (112.735644 -7.3370408)
4636658638,-7.3373587,112.7356164,2,,POINT (112.7356164 -7.3373587)
4636658640,-7.3375531,112.7356039,3,,POINT (112.7356039 -7.3375531)
4636658641,-7.3438583,112.7368342,2,,POINT (112.7368342 -7.3438583)
4636658642,-7.3439128,112.7369512,2,,POINT (112.7369512 -7.3439128)
4636658643,-7.3439239,112.736998,2,,POINT (112.736998 -7.3439239)
4636658644,-7.3439419,112.7370606,2,,POINT (112.7370606 -7.3439419)
4636658645,-7.3439923,112.7372445,3,,POINT (112.7372445 -7.3439923)
4636658656,-7.3388159,112.7393051,2,,POINT (112.7393051 -7.3388159)
4636658657,-7.3365428,112.7333308,1,,POINT (112.7333308 -7.3365428)
4636658661,-7.3369037,112.7332087,3,,POINT (112.7332087 -7.3369037)
4636658662,-7.3372734,112.7397086,3,,POINT (112.7397086 -7.3372734)
4636658665,-7.3376285,112.7396007,3,,POINT (112.7396007 -7.3376285)
4636658666,-7.3378994,112.739531,2,,POINT (112.739531 -7.3378994)
4636658667,-7.3380008,112.7395003,2,,POINT (112.7395003 -7.3380008)
4636658668,-7.3381881,112.7394397,2,,POINT (112.7394397 -7.3381881)
4636658669,-7.3382986,112.7394029,2,,POINT (112.7394029 -7.3382986)
4636658670,-7.3384913,112.7393536,2,,POINT (112.7393536 -7.3384913)
4636658671,-7.3386379,112.7393194,2,,POINT (112.7393194 -7.3386379)
4636658672,-7.3388102,112.739278,3,,POINT (112.739278 -7.3388102)
4636658751,-7.3364574,112.7346075,3,,POINT (112.7346075 -7.3364574)
4636658752,-7.3365638,112.7345703,2,,POINT (112.7345703 -7.3365638)
4636658753,-7.336649,112.7345418,2,,POINT (112.7345418 -7.336649)
4636658754,-7.3368384,112.73448,2,,POINT (112.73448 -7.3368384)
4636658755,-7.3370066,112.7344231,2,,POINT (112.7344231 -7.3370066)
4636658756,-7.3370626,112.7344037,2,,POINT (112.7344037 -7.3370626)
4636658757,-7.3371391,112.7343785,2,,POINT (112.7343785 -7.3371391)
4636658758,-7.3371754,112.7343663,2,,POINT (112.7343663 -7.3371754)
4636658759,-7.3372779,112.7343328,3,,POINT (112.7343328 -7.3372779)
4648434297,-7.3282799,112.7366656,3,,POINT (112.7366656 -7.3282799)
