u,v,key,osmid,name,highway,oneway,reversed,length,travel_time,regulated_max_speed,computed_max_speed,capacity,lanes,width,access,bridge,service,geometry
7624715163,7624715162,0,816389304,,residential,False,False,3.367,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7366117 -7.3364726, 112.736641 -7.3364811)"
7624715163,7624715164,0,816389304,,residential,False,True,2.356,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7366117 -7.3364726, 112.7365913 -7.3364663)"
7624715164,7624715163,0,816389304,,residential,False,False,2.356,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7365913 -7.3364663, 112.7366117 -7.3364726)"
7624715164,7624715165,0,816389304,,residential,False,True,2.826,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7365913 -7.3364663, 112.7365661 -7.3364617)"
7624715165,7624715164,0,816389304,,residential,False,False,2.826,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7365661 -7.3364617, 112.7365913 -7.3364663)"
7624715165,1719641846,0,816389304,,residential,False,True,6.125,0.7,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7365661 -7.3364617, 112.7365108 -7.3364566)"
7624715167,1719641846,0,847053095,,residential,False,False,40.344,4.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7361665 -7.336334, 112.7365108 -7.3364566)"
7624715172,7624715173,0,816389305,,residential,False,False,19.108,2.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7365407 -7.33689, 112.7367015 -7.336954)"
7624715173,7624715172,0,816389305,,residential,False,True,19.108,2.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7367015 -7.336954, 112.7365407 -7.33689)"
7624715173,7624715175,0,816389306,,residential,False,True,1.781,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7367015 -7.336954, 112.7367176 -7.3369527)"
7624715175,7624715173,0,816389306,,residential,False,False,1.781,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7367176 -7.3369527, 112.7367015 -7.336954)"
7624715175,7624715177,0,816389306,,residential,False,True,1.382,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7367176 -7.3369527, 112.7367284 -7.3369464)"
7624715177,7624715175,0,816389306,,residential,False,False,1.382,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7367284 -7.3369464, 112.7367176 -7.3369527)"
7624715177,1719641858,0,816389306,,residential,False,True,27.363,3.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7367284 -7.3369464, 112.7368114 -7.3367145)"
7624715179,7624715180,0,816389307,,residential,False,True,13.598,1.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391327 -7.3376874, 112.7391531 -7.3375668)"
7624715180,7624715179,0,816389307,,residential,False,False,13.598,1.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391531 -7.3375668, 112.7391327 -7.3376874)"
7624715180,7624715181,0,816389307,,residential,False,True,4.994,0.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391531 -7.3375668, 112.7391592 -7.3375223)"
7624715181,7624715180,0,816389307,,residential,False,False,4.994,0.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391592 -7.3375223, 112.7391531 -7.3375668)"
7624715181,7624715182,0,816389307,,residential,False,True,3.626,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391592 -7.3375223, 112.7391599 -7.3374897)"
7624715182,7624715181,0,816389307,,residential,False,False,3.626,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391599 -7.3374897, 112.7391592 -7.3375223)"
7624715182,9186933114,0,816389307,,residential,False,True,2.238,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391599 -7.3374897, 112.7391589 -7.3374696)"
7625039548,5608388604,0,587072769,,service,False,False,5.978,0.7,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391409 -7.3351994, 112.7390867 -7.3351987)"
7625039548,5608388606,0,587072769,,service,False,True,6.816,0.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7391409 -7.3351994, 112.7392008 -7.3352145)"
7625277768,5608705177,0,587121093,,service,True,False,31.315,3.8,30,20.0,1500.0,1,2.75,,,,"LINESTRING (112.7365218 -7.3396832, 112.7362396 -7.339652)"
7625277768,11217257923,0,1210688466,,service,True,False,2.992,0.4,30,20.0,1500.0,1,2.75,,,,"LINESTRING (112.7365218 -7.3396832, 112.736521 -7.3397101)"
7625813770,5608705177,0,816444052,,service,False,False,30.507,3.7,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7359647 -7.3396214, 112.7362396 -7.339652)"
7625813770,7625813771,0,816444052,,service,False,True,2.918,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7359647 -7.3396214, 112.7359392 -7.3396144)"
7625813771,7625813770,0,816444052,,service,False,False,2.918,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7359392 -7.3396144, 112.7359647 -7.3396214)"
7625813771,9189825847,0,816444052,,service,False,True,2.671,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7359392 -7.3396144, 112.7359217 -7.3395978)"
7625813775,5608388606,0,587072769,,service,False,False,6.962,0.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7392618 -7.3352306, 112.7392008 -7.3352145)"
7625813775,7625813776,0,587072769,,service,False,True,3.971,0.5,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7392618 -7.3352306, 112.7392933 -7.3352479)"
7625813776,7625813775,0,587072769,,service,False,False,3.971,0.5,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7392933 -7.3352479, 112.7392618 -7.3352306)"
7625813776,9189825843,0,587072769,,service,False,True,2.997,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7392933 -7.3352479, 112.7393107 -7.3352686)"
7625813777,5608388603,0,587072767,,service,False,False,108.001,13.0,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7390344 -7.3352333, 112.738737 -7.3361587)"
7625813777,7625813778,0,587072767,,service,False,True,3.455,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7390344 -7.3352333, 112.7390559 -7.3352107)"
7625813778,7625813777,0,587072767,,service,False,False,3.455,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7390559 -7.3352107, 112.7390344 -7.3352333)"
7625813778,5608388604,0,587072767,,service,False,True,3.649,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7390559 -7.3352107, 112.7390867 -7.3351987)"
7625813779,5608388602,0,587072771,,service,False,False,10.454,1.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7388816 -7.3350231, 112.7387937 -7.3349879)"
7625813779,7625813780,0,587072771,,service,False,True,3.187,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7388816 -7.3350231, 112.7389023 -7.3350431)"
7625813780,7625813779,0,587072771,,service,False,False,3.187,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7389023 -7.3350431, 112.7388816 -7.3350231)"
7625813780,5608388613,0,587072771,,service,False,True,2.646,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7389023 -7.3350431, 112.7389098 -7.3350657)"
7625813781,7625813782,0,587072771,,service,False,False,2.508,0.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7386978 -7.3349773, 112.7386757 -7.3349826)"
7625813781,5608388602,0,587072771,,service,False,True,10.642,1.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7386978 -7.3349773, 112.7387937 -7.3349879)"
