LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
248,55,56,1500.0,0.011,35.0,2,3.0,service,n/a
249,8,7,5000.0,0.001,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
250,7,6,5000.0,0.0,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
251,6,20,5000.0,0.007,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
252,21,16,5000.0,0.007,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
253,16,15,5000.0,0.0,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
254,15,14,5000.0,0.0,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
255,12,9,5000.0,0.001,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
256,9,8,5000.0,0.002,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
257,14,13,5000.0,0.003,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
258,13,12,5000.0,0.001,55.0,2,10,tertiary,Jalan Gapura Lontar Barat
